id,title,description,required_skills,min_experience,education_required,salary_range
1,Senior Data Scientist,"We are looking for a Senior Data Scientist to join our AI team. You will build and deploy machine learning models, conduct statistical analyses, and drive data-driven decisions. Experience with Python, ML frameworks, and cloud platforms is required.","Python,Machine Learning,Deep Learning,TensorFlow,SQL,Statistics,Pandas,Scikit-learn",4,Masters,120000-160000
2,Full Stack Developer,"Join our engineering team to build scalable web applications. You will work on both frontend (React) and backend (Node.js) systems. Strong understanding of REST APIs, databases, and modern JavaScript required.","JavaScript,React,Node.js,MongoDB,REST API,Docker,Git,HTML,CSS",3,Bachelors,90000-130000
3,NLP Engineer,"Seeking an NLP Engineer to develop cutting-edge natural language processing solutions. You will work on text classification, named entity recognition, and language model fine-tuning using transformers.","Python,NLP,PyTorch,BERT,Transformers,Hugging Face,Scikit-learn,SQL",4,Masters,110000-150000
4,DevOps Engineer,"Looking for a DevOps Engineer to build and maintain our CI/CD infrastructure. You will manage Kubernetes clusters, automate deployments, and ensure system reliability using AWS and Terraform.","AWS,Kubernetes,Docker,Terraform,Jenkins,CI/CD,Linux,Python",3,Bachelors,100000-140000
5,Data Analyst,"We need a Data Analyst to transform data into actionable insights. You will design dashboards, write complex SQL queries, and present findings to stakeholders using Tableau and Power BI.","SQL,Power BI,Tableau,Excel,Python,Statistics,Data Visualization",2,Bachelors,70000-100000
6,Machine Learning Engineer,"Build and deploy production ML systems at scale. You will work on feature pipelines, model training, A/B testing, and MLOps infrastructure using GCP and Kubernetes.","Python,Scikit-learn,MLflow,FastAPI,GCP,Docker,Kubernetes,SQL",3,Masters,115000-155000
7,Backend Python Developer,"Join our backend team developing high-performance APIs. You will build Django REST framework applications, optimize PostgreSQL queries, and implement caching with Redis.","Python,Django,PostgreSQL,Redis,REST API,Celery,Git,Linux",4,Bachelors,95000-130000
8,Cloud Architect,"Design and implement scalable multi-cloud solutions. You will create cloud architecture blueprints, lead migration projects, and ensure security and cost optimization across AWS, Azure, and GCP.","AWS,Azure,GCP,Terraform,Architecture,Security,Networking,Python",6,Masters,140000-190000
9,Data Engineer,"Build robust data pipelines and infrastructure. You will design ETL workflows using Apache Spark, Airflow, and Kafka to process terabytes of data daily.","Python,Spark,Hadoop,Airflow,Kafka,SQL,AWS,ETL",3,Bachelors,100000-140000
10,Frontend React Developer,"Create beautiful, high-performance web applications. You will build responsive UIs using React and TypeScript, integrate GraphQL APIs, and optimize for performance and accessibility.","React,TypeScript,Next.js,GraphQL,JavaScript,HTML,CSS,Git",2,Bachelors,85000-120000
11,Cybersecurity Analyst,"Protect our systems and data from threats. You will conduct penetration testing, monitor SIEM alerts, respond to incidents, and implement security best practices.","Network Security,Penetration Testing,SIEM,Python,Linux,Firewall,Cloud Security",4,Bachelors,100000-140000
12,AI Research Scientist,"Push the boundaries of AI research. You will design novel deep learning architectures, publish at top conferences (NeurIPS, ICML), and collaborate with engineering teams to productionize research.","Python,PyTorch,TensorFlow,Deep Learning,Research,Mathematics,Statistics",5,PhD,130000-180000
13,Computer Vision Engineer,"Develop real-time computer vision systems for autonomous applications. You will train object detection models, optimize inference pipelines, and deploy on edge devices.","Python,OpenCV,PyTorch,CNN,YOLO,Computer Vision,Deep Learning,TensorFlow",3,Masters,110000-150000
14,ML Ops Engineer,"Build and maintain the ML infrastructure platform. You will manage model lifecycle, implement drift detection, and build tools for model monitoring and retraining pipelines.","Python,MLflow,Kubeflow,DVC,Docker,Kubernetes,CI/CD,Python",3,Masters,110000-140000
15,Data Science Manager,"Lead a team of data scientists delivering business value through analytics and ML. You will mentor team members, drive research agenda, and communicate insights to C-suite.","Python,Machine Learning,Leadership,SQL,Statistics,Communication,Spark,Databricks",7,Masters,150000-200000
